Computer,Disk,DiskMBPerSecondAverage
ACMDPAP03,"D:","2076.99"
ACMDPAP03,"C:","242.12"
ACMDPAP03,"E:","6.66"
ACMDPAP10,"C:","131.58"
ACMDPAP10,"D:",0
ACMDPAP12,"C:","411.08"
ACMDPAP12,"D:","43.95"
ACMDPAP12,"P:","0.01"
ACMDPAP121,"C:","166.79"
ACMDPAP121,"D:","0.38"
ACMDPAP122,"C:","159.74"
ACMDPAP122,"D:","0.32"
ACMDPAP123,"C:","161.27"
ACMDPAP123,"D:","0.24"
ACMDPAP124,"C:","193.78"
ACMDPAP124,"D:","0.24"
ACMDPAP125,"C:","167.5"
ACMDPAP125,"D:","0.16"
ACMDPAP126,"C:","196.56"
ACMDPAP126,"D:","0.26"
ACMDPAP127,"C:","87.48"
ACMDPAP127,"E:",0
ACMDPAP127,"D:",0
ACMDPAP136,"C:","140.24"
ACMDPAP136,"D:","0.02"
ACMDPAP137,"C:","153.34"
ACMDPAP137,"D:","0.02"
ACMDPAP138,"C:","141.59"
ACMDPAP138,"D:","0.02"
ACMDPAP156,"C:","197.41"
ACMDPAP156,"D:",0
ACMDPAP157,"C:","123.01"
ACMDPAP157,"D:",0
ACMDPAP173,"C:","142.96"
ACMDPAP173,"D:",0
ACMDPAP174,"C:","149.58"
ACMDPAP174,"D:",0
ACMDPAP181,"C:","1103.97"
ACMDPAP181,"D:","41.65"
ACMDPAP181,"P:","0.93"
ACMDPAP183,"C:","312.39"
ACMDPAP183,"D:","37.49"
ACMDPAP184,"C:","1030.26"
ACMDPAP184,"D:","38.24"
ACMDPAP184,"P:",0
ACMDPAP185,"C:","148.05"
ACMDPAP185,"D:","1.02"
ACMDPAP185,"P:",0
ACMDPAP186,"C:","239.57"
ACMDPAP186,"D:",0
ACMDPAP187,"C:","1036.23"
ACMDPAP187,"D:","38.19"
ACMDPAP187,"P:",0
ACMDPAP191,"C:","145.59"
ACMDPAP191,"D:","0.96"
ACMDPAP25,"C:","149.39"
ACMDPAP25,"D:",0
ACMDPAP28,"C:","192.26"
ACMDPAP28,"E:","0.01"
ACMDPAP28,"D:",0
ACMDPAP29,"C:","202.72"
ACMDPAP29,"F:","17.31"
ACMDPAP29,"E:","4.76"
ACMDPAP29,"P:",0
ACMDPAP29,"H:",0
ACMDPAP29,"G:",0
ACMDPAP30,"C:","159.56"
ACMDPAP30,"F:","8.27"
ACMDPAP30,"H:",0
ACMDPAP30,"P:",0
ACMDPAP30,"E:",0
ACMDPAP30,"G:",0
ACMDPAP32,"C:","141.36"
ACMDPAP32,"D:","3.71"
ACMDPAP32,"P:","0.02"
ACMDPAP42,"C:","177.17"
ACMDPAP42,"D:","1.43"
ACMDPAP54,"C:","126.87"
ACMDPAP54,"D:",0
