Computer,BytesSentAverage
ACMDPBD81,"90225227.24"
ACMDPBD40,"52873113.47"
ACMDPBD136,"42970593.46"
ACMDPBD128,"34617641.58"
ACMDPBD42,"29109383.85"
ACMDPBD142,"25136029.55"
ACMDPBD122,"14985824.41"
ACMDPBD165,"9614353.05"
ACMDPBD195,"7036978.1"
ACMDPPR76,"5654611.07"
EMSPSBD21,"2877486.85"
ACMDPBD30,"2743176.09"
ACMDPAP92,"2640475.68"
ACMDPBD92,"2608083.26"
ACMDPBD201,"1771357.78"
ACMDPBD152,"1474953.39"
ACMDPPR92,"1345645.62"
PREMSPSBD185,"1149538.02"
ACMDPPR121,"1006133.28"
ACMDPPR123,"996257.45"
ACMDPPR96,"979624.69"
ACMDPBD82,"920628.11"
ACMDPPR93,"919649.1"
ACMDPPR141,"822568.55"
ACMDPPR30,"814857.37"
ACMDPPR94,"809447.55"
ACMDPBD126,"748666.89"
ACMDPPR132,"667786.14"
ACMDPPR131,"649161.61"
ACMDPPR101,"614118.4"
ACMDPBD223,"582470.53"
ACMDPPR102,"571484.91"
ACMDPAP03,"535859.43"
"az-msps-vm-veea","529295.47"
ACMDPBD176,"526808.61"
ACMDPAP181,"466906.24"
ACMDPBD127,"447015.55"
ACMDPAP187,"443776.92"
ACMDPAP184,"437783.48"
ACMDPPR139,"347227.02"
ACMDPPR140,"338515.73"
ACMDPPR138,"338367.53"
PREMSPSBD133,"316844.52"
ACMDPPR80,"303427.3"
ACMDPAP186,260404
ACMDPBD125,"252016.22"
EMSPSPR22,"242846.59"
ACMDPBD120,"224046.02"
ACMDPBD213,"210135.6"
ACMDPPR191,"199543.62"
ACMDPPR183,"184734.45"
ACMDPPR122,"172138.07"
ACMDPBD187,"159738.53"
ACMDPBD216,"144414.71"
ACMDPPR174,"133058.41"
PREMSPSBD122,"125224.89"
ACMDPBD137,"123762.47"
PREMSPSBD182,"119301.92"
ACMDPBD139,"112140.92"
ACMDPBD140,"106659.4"
ACMDPBD96,"102428.07"
ACMDPBD57,"98159.39"
ACMDPBD23,"91869.75"
ACMDPAP126,"89651.77"
PREMSPSBD96,"85971.4"
DMSPSBD122,"85941.03"
PREMSPSBD201,"80993.31"
ACMDPAP123,"79806.66"
ACMDPAP124,"78463.77"
ACMDPBD141,"76924.27"
PREMSPSBD95,"75176.11"
ACMDPAP121,"70027.53"
ACMDPAP122,"67579.82"
