Computer,"Total_vCPUS","CPU_Load_Percentage"
ACMDPBD115,24,100
ACMDPBD81,36,100
ACMDPPR80,24,100
PREMSPSPR92,2,100
ACMDPBD43,16,100
"az-msps-vm-veea",8,100
ACMDPBD40,16,100
ACMDPBD136,24,100
EMSPSAP22,8,"99.996745"
PREMSPSAP182,4,"99.980504"
ACMDPPR102,8,"99.977217"
ACMDPBD38,16,"99.962619"
PREMSPSBD132,2,"99.77865"
PREMSPSBD115,2,"99.609518"
PREMSPSBD50,2,"99.531179"
EMSPSAP21,8,"99.345823"
PREMSPSBD133,2,"99.283931"
PREMSPSAP123,4,"98.730555"
PREMSPSBD122,4,"98.703208"
PREMSPSBD123,4,"98.566093"
PREMSPSBD130,4,"98.519601"
PREMSPSBD96,2,"98.281567"
PREMSPSBD25,2,"97.618904"
PREMSPSPR91,2,"96.849647"
ACMDPBD92,24,"96.011017"
PREMSPSBD81,16,"95.633729"
PREMSPSBD141,2,"95.443541"
DMSPSBD101,2,"95.002996"
PREMSPSPR123,4,"94.412998"
ACMDPPR57,16,"94.337489"
PREMSPSAP124,4,"93.991007"
ACMDPBD188,16,"93.268827"
ACMDPBD195,8,"92.705045"
ACMDPBD125,8,"92.606873"
ACMDPBD140,16,"91.956441"
PREMSPSBD95,2,"91.378333"
PREMSPSBD103,2,"90.154244"
ACMDPBD95,8,"89.113683"
ACMDPBD82,16,"88.649858"
PREMSPSAP134,4,"88.033716"
PREMSPSBD53,2,"87.308346"
DMSPSBD55,2,"87.067613"
ACMDPBD120,16,"86.225106"
ACMDPBD137,24,"86.158019"
PREMSPSPR124,4,"85.129605"
ACMDPBD222,16,"83.112029"
ACMDPBD187,16,"81.641522"
ACMDPBD102,16,"81.204328"
ACMDPBD216,16,"80.70692"
ACMDPBD105,8,"80.266977"
ACMDPBD50,8,"80.099552"
ACMDPBD139,16,"80.01902"
PREMSPSBD182,16,"76.606307"
ACMDPPR92,16,"75.854246"
PREMSPSBD61,4,"74.930405"
ACMDPBD142,16,"73.831248"
DMSPSAP122,8,"72.560566"
ACMDPPR83,24,"70.813772"
ACMDPBD157,8,"70.272629"
DMSPSBD91,2,"68.134921"
PREMSPSPR53,4,"67.963582"
ACMDPPR53,16,"67.008624"
ACMDPBD165,16,"66.599116"
DMSPSBD51,2,"66.200159"
ACMDPPR101,8,"66.169562"
ACMDPPR126,8,"64.172604"
PREMSPSBD201,2,"62.708409"
PREMSPSPR101,4,"60.987058"
DMSPSPR231,8,"60.57495"
ACMDPPR85,24,"60.249583"
DMSPSBD56,2,"58.625673"
DMSPSBD54,2,"58.365327"
ACMDPBD152,16,"57.764538"
ACMDPBD190,16,"57.492963"
PREMSPSBD11,2,"56.406362"
ACMDPPR121,8,"56.215352"
PREMSPSPR134,4,"55.644224"
EMSPSBD21,8,"55.531611"
DMSPSPR122,8,"55.098774"
EMSPSPR22,8,"54.126157"
ACMDPPR132,8,"53.904832"
ACMDPBD145,8,"53.775598"
ACMDPBD201,8,"53.749799"
ACMDPPR131,8,"53.187445"
DMSPSPR121,8,"53.092569"
ACMDPBD192,8,"52.838262"
ACMDPBD128,16,"52.590552"
ACMDPAP57,2,"52.321674"
DMSPSPR56,8,"52.136128"
PREMSPSAP81,2,"51.813296"
DMSPSBD30,4,"51.524647"
PREMSPSPR182,4,"50.988023"
ACMDPBD230,16,"49.989769"
ACMDPBD177,8,"49.133056"
DMSPSBD122,4,"48.978768"
ACMDPBD126,16,"48.696266"
DMSPSBD61,4,"47.377575"
PREMSPSPR211,4,"46.484827"
PREMSPSAP12,4,"46.427707"
PREMSPSBD70,16,"46.019529"
DMSPSBD231,4,"45.92444"
ACMDPBD19,8,"45.508524"
PREMSPSPR201,4,"45.412178"
PREMSPSPR121,4,"45.306865"
PREMSPSPR30,4,"45.164243"
ACMDPBD158,8,"44.723127"
PREMSPSPR50,4,"44.546908"
PREMSPSPR141,4,"44.425802"
PREMSPSPR132,4,"43.92755"
ACMDPBD175,8,"43.464853"
DMSPSBD60,4,"43.403113"
DMSPSBD131,4,"42.948207"
ACMDPAP124,8,"41.525756"
DMSPSBD221,4,"41.431295"
PREMSPSBD185,16,"41.388323"
ACMDPBD42,16,"41.012411"
ACMDPBD23,16,"40.984268"
ACMDPAP181,16,"40.685708"
PREMSPSBD35,4,"40.583697"
DMSPSPR132,8,"40.538611"
PREMSPSBD186,16,"40.397989"
ACMDPAP123,8,"40.271047"
PREMSPSPR232,4,"39.991695"
ACMDPAP126,8,"39.479781"
ACMDPPR141,8,"39.296677"
ACMDPAP127,8,"38.819453"
PREMSPSPR135,4,"38.645033"
PREMSPSPR131,4,"38.634226"
PREMPSPSAP183,4,"38.466714"
ACMDPBD122,16,"38.32971"
ACMDPBD212,8,"38.300287"
ACMDPPR96,16,"38.095769"
PREMSPSPR181,4,"37.75236"
DMSPSAP221,8,"36.770113"
DMSPSPR51,8,"36.540937"
ACMDPAP184,16,"36.312679"
PREMSPSAP121,4,"34.893848"
ACMDPBD123,16,"34.865529"
DMSPSBD121,4,"34.854092"
ACMDPPR42,8,"34.060754"
ACMDPAP28,8,"33.711199"
ACMDPPR93,16,"33.016621"
PREMSPSBD127,4,"32.341006"
ACMDPPR76,8,"32.152541"
ACMDPPR14,8,"32.145912"
ACMDPAP32,8,"32.043681"
ACMDPPR15,8,"32.012139"
"vm-msps-prod-ap",4,"31.90666"
ACMDPPR09,8,"31.794068"
ACMDPPR123,8,"31.779138"
ACMDPAP187,16,"31.359057"
PREMSPSBD36,4,"31.263937"
PREMSPSAP61,4,"31.217934"
PREMSPSAP131,4,"30.872671"
ACMDPPR191,8,"30.633997"
EMSPSAP07,4,"30.293673"
PREMSPSBD55,4,"30.232911"
PREMSPSBD72,4,"30.186509"
PREMSPSAP13,4,"30.060194"
PREMSPSPR55,4,"29.696571"
PREMSPSPR231,4,"29.480575"
PREMSPSAP11,4,"29.386815"
PREMSPSPR62,4,"29.229041"
ACMDPBD35,8,"29.168319"
PREMSPSAP62,4,"28.818476"
PREMSPSAP122,4,"28.808308"
ACMDPBD127,16,"28.283945"
ACMDPPR173,8,"28.239315"
ACMDPPR138,8,"28.094526"
ACMDPAP156,8,"27.865286"
ACMDPBD53,8,"27.485923"
ACMDPAP03,8,"27.335539"
ACMDPAP157,8,"27.287599"
ACMDPBD30,16,"27.228531"
ACMDPAP63,8,"27.045614"
ACMDPBD213,16,"27.032284"
ACMDPAP125,8,"27.017564"
PREMSPSBD128,4,"26.962927"
ACMDPBD202,8,"26.936462"
PREMSPSBD62,4,"26.871338"
ACMDPBD14,8,"26.597249"
PREMSPSBD73,4,"26.419006"
PREMSPSAP65,4,"26.334817"
DMSPSAP131,8,"25.998331"
ACMDPBD28,8,"25.958173"
ACMDPAP191,8,"25.77974"
ACMDPPR94,16,"25.66902"
ACMDPPR122,8,"25.556367"
DMSPSPR131,8,"25.345129"
ACMDPBD63,8,"25.303013"
EMSPSAP05,8,"25.131836"
ACMDPAP185,8,"24.733095"
PREMSPSPR65,4,"24.671522"
ACMDPBD56,8,"24.603325"
ACMDPAP25,8,"24.376576"
ACMDPAP92,8,"24.138872"
ACMDPPR124,8,"23.847404"
ACMDPPR29,16,"23.487054"
ACMDPPR183,8,"23.223087"
ACMDPPR211,8,"23.213873"
ACMDPBD96,16,"23.192737"
ACMDPPR111,8,"23.158063"
ACMDPPR182,8,"23.104647"
DMSPSPR55,8,"22.90672"
ACMDPPR18,8,"22.61476"
ACMDPBD67,8,"22.554307"
ACMDPPR139,8,"22.410506"
DMSPSBD111,8,"21.922974"
ACMDPBD17,8,"21.632799"
ACMDPAP173,8,"21.618414"
PREMSPSBD126,16,"21.56189"
ACMDPBD62,8,"21.540111"
ACMDPBD66,8,"21.500979"
ACMDPPR35,8,"21.474321"
ACMDPBD226,16,"21.290294"
ACMDPAP136,8,"21.152155"
PREMSPSBD30,16,"21.111958"
ACMDPAP174,8,"21.103534"
ACMDPPR140,8,"21.078156"
ACMDPPR125,8,"21.077101"
ACMDPAP12,24,"20.44965"
ACMDPAP68,16,"20.287776"
ACMDPBD29,16,"19.849514"
ACMDPAP137,8,"19.82724"
ACMDPAP99,8,"19.716521"
acmdpap200,8,"19.648469"
ACMDPPR174,8,"19.504119"
ACMDPAP42,8,"19.463126"
ACMDPAP61,8,"19.151901"
DMSPSBD11,8,"19.151345"
DMSPSPR91,8,"19.084201"
ACMDPPR212,8,"19.076357"
ACMDPBD69,8,"18.838906"
