Computer,TotalMemoryGB,UsedMemoryPercentageWithSymbol,"Free_RAM",FreeMemoryGB,UsedMemoryGB,UsedMemoryPercentage
ACMDPPR102,32,"99.5%",Critical,"0.16133747559027162","31.838662524409727","99.5"
ACMDPBD140,98,"98.02%",Critical,"1.9435275953859805","96.05647240461401","98.02"
ACMDPBD139,98,"98.01%",Critical,"1.9492151224707135","96.05078487752928","98.01"
ACMDPBD216,98,"97.67%",Critical,"2.285135960241391","95.71486403975861","97.67"
ACMDPBD187,98,"97.32%",Critical,"2.6238468228612","95.3761531771388","97.32"
ACMDPBD222,98,"97.26%",Critical,"2.684043123336291","95.3159568766637","97.26"
ACMDPBD188,98,"96.49%",Critical,"3.436697195598154","94.56330280440184","96.49"
DMSPSBD122,131,"96.2%",Critical,"4.975830965909091","126.0241690340909","96.2"
ACMDPBD38,98,"96.18%",Critical,"3.7457047027506656","94.25429529724933","96.18"
ACMDPBD37,98,"95.62%",Critical,"4.290429636202307","93.7095703637977","95.62"
ACMDPBD102,98,"95.31%",Critical,"4.596345402910898","93.4036545970891","95.31"
PREMSPSBD126,131,"94.97%",Critical,"6.585274147727273","124.41472585227272","94.97"
ACMDPBD92,262,"94.33%",Critical,"14.844012067435669","247.15598793256433","94.33"
ACMDPBD81,393,"93.98%",Critical,"23.66070571095571","369.3392942890443","93.98"
EMSPSBD21,65,"93.93%",Critical,"3.943042243521477","61.056957756478525","93.93"
ACMDPBD19,32,"93.64%",Critical,"2.0359071707490237","29.964092829250976","93.64"
ACMDPBD195,32,"92.72%",Critical,"2.3294533191338305","29.67054668086617","92.72"
ACMDPBD176,16,"91.88%",Critical,"1.298600461483848","14.701399538516153","91.88"
PREMSPSBD122,32,"91.8%",Critical,"2.6230140269886366","29.376985973011365","91.8"
ACMDPBD125,32,"91.35%",Critical,"2.769032836350728","29.23096716364927","91.35"
ACMDPBD14,32,"91.31%",Critical,"2.7800136645962734","29.219986335403725","91.31"
ACMDPBD142,49,"90.78%",Critical,"4.520071175008875","44.47992882499113","90.78"
ACMDPBD192,32,"90.76%",Critical,"2.958155307064253","29.041844692935747","90.76"
PREMSPSBD128,32,"89.94%",Warning,"3.2192356178977275","28.780764382102273","89.94"
ACMDPPR101,32,"89.65%",Warning,"3.312651402200923","28.687348597799076","89.65"
PREMSPSBD35,32,"89.64%",Warning,"3.3147405434203514","28.685259456579647","89.64"
ACMDPBD115,65,"89.43%",Warning,"6.872215616681455","58.12778438331854","89.43"
ACMDPBD95,32,"88.64%",Warning,"3.6361680866169688","28.36383191338303","88.64"
ACMDPBD137,262,"87.84%",Warning,"31.869563442768413","230.13043655723158","87.84"
PREMSPSBD96,32,"87.23%",Warning,"4.085462713068182","27.914537286931818","87.23"
PREMSPSBD133,32,"86.32%",Warning,"4.377313798614812","27.62268620138519","86.32"
ACMDPBD145,16,"86.26%",Warning,"2.1976040113596023","13.802395988640399","86.26"
ACMDPBD165,98,"79.78%",Warning,"19.813523344576602","78.1864766554234","79.78"
"az-msps-vm-veea",32,"78.61%",Warning,"6.845876663708962","25.154123336291036","78.61"
ACMDPPR141,8,"77.29%",Warning,"1.816661281732647","6.183338718267353","77.29"
ACMDPBD166,98,"76.51%",Warning,"23.01847985803017","74.98152014196984","76.51"
ACMDPBD50,8,"76.27%",Warning,"1.8983189563365281","6.101681043663472","76.27"
