Computer,Disk,DiskPercentageUsed,"Free_Space_Label",LogicalDiskSpacePercentageFreeAverage
ACMDPAP03,"C:","54.09%",Healthy,"54.09"
ACMDPAP03,"D:","25.1%",Healthy,"25.1"
ACMDPAP03,"E:","17.04%",Healthy,"17.04"
ACMDPAP10,"C:","63.67%",Warning,"63.67"
ACMDPAP10,"D:","60.49%",Warning,"60.49"
ACMDPAP12,"D:","50.68%",Healthy,"50.68"
ACMDPAP12,"C:","11.63%",Healthy,"11.63"
ACMDPAP12,"P:","5.35%",Healthy,"5.35"
ACMDPAP121,"D:","89.56%",Warning,"89.56"
ACMDPAP121,"C:","14.85%",Healthy,"14.85"
ACMDPAP122,"D:","92.43%",Critical,"92.43"
ACMDPAP122,"C:","27.63%",Healthy,"27.63"
ACMDPAP123,"D:","91.43%",Critical,"91.43"
ACMDPAP123,"C:","6.96%",Healthy,"6.96"
ACMDPAP124,"D:","93.03%",Critical,"93.03"
ACMDPAP124,"C:","28.43%",Healthy,"28.43"
ACMDPAP125,"D:","85.38%",Warning,"85.38"
ACMDPAP125,"C:","38.51%",Healthy,"38.51"
ACMDPAP126,"D:","92.75%",Critical,"92.75"
ACMDPAP126,"C:","9.63%",Healthy,"9.63"
ACMDPAP127,"D:","99.81%",Critical,"99.81"
ACMDPAP127,"E:","98.24%",Critical,"98.24"
ACMDPAP127,"C:","77.85%",Warning,"77.85"
ACMDPAP136,"D:","85.04%",Warning,"85.04"
ACMDPAP136,"C:","65.51%",Warning,"65.51"
ACMDPAP137,"D:","95.7%",Critical,"95.7"
ACMDPAP137,"C:","66.94%",Warning,"66.94"
ACMDPAP138,"D:","85.06%",Warning,"85.06"
ACMDPAP138,"C:","72.11%",Warning,"72.11"
ACMDPAP156,"D:","84.15%",Warning,"84.15"
ACMDPAP156,"C:","54.52%",Healthy,"54.52"
ACMDPAP157,"D:","98.17%",Critical,"98.17"
ACMDPAP157,"C:","67.59%",Warning,"67.59"
ACMDPAP173,"D:","98.9%",Critical,"98.9"
ACMDPAP173,"C:","68.45%",Warning,"68.45"
ACMDPAP174,"D:","99.09%",Critical,"99.09"
ACMDPAP174,"C:","68.96%",Warning,"68.96"
ACMDPAP181,"C:","49.78%",Healthy,"49.78"
ACMDPAP181,"D:","40.29%",Healthy,"40.29"
ACMDPAP181,"P:","3.46%",Healthy,"3.46"
ACMDPAP183,"D:","93.17%",Critical,"93.17"
ACMDPAP183,"C:","51.97%",Healthy,"51.97"
ACMDPAP184,"C:","57.66%",Healthy,"57.66"
ACMDPAP184,"D:","39.67%",Healthy,"39.67"
ACMDPAP184,"P:","3.46%",Healthy,"3.46"
ACMDPAP185,"D:","82.09%",Warning,"82.09"
ACMDPAP185,"C:","65.91%",Warning,"65.91"
ACMDPAP185,"P:","3.46%",Healthy,"3.46"
ACMDPAP186,"D:","98.72%",Critical,"98.72"
ACMDPAP186,"C:","68.36%",Warning,"68.36"
ACMDPAP187,"C:","55.09%",Healthy,"55.09"
ACMDPAP187,"D:","44.07%",Healthy,"44.07"
ACMDPAP187,"P:","3.46%",Healthy,"3.46"
ACMDPAP191,"D:","96.32%",Critical,"96.32"
ACMDPAP191,"C:","66.17%",Warning,"66.17"
ACMDPAP25,"D:","95.2%",Critical,"95.2"
ACMDPAP25,"C:","56.21%",Healthy,"56.21"
ACMDPAP28,"D:","99.14%",Critical,"99.14"
ACMDPAP28,"C:","71.34%",Warning,"71.34"
ACMDPAP28,"E:","59.61%",Healthy,"59.61"
ACMDPAP29,"H:","99.84%",Critical,"99.84"
ACMDPAP29,"G:","99.45%",Critical,"99.45"
ACMDPAP29,"E:","90.63%",Critical,"90.63"
ACMDPAP29,"C:","59.78%",Healthy,"59.78"
ACMDPAP29,"F:","50.99%",Healthy,"50.99"
ACMDPAP29,"P:","35.46%",Healthy,"35.46"
ACMDPAP30,"G:","98.68%",Critical,"98.68"
ACMDPAP30,"H:","93.81%",Critical,"93.81"
ACMDPAP30,"E:","91.2%",Critical,"91.2"
ACMDPAP30,"F:","88.42%",Warning,"88.42"
ACMDPAP30,"P:","35.46%",Healthy,"35.46"
ACMDPAP30,"C:","26.77%",Healthy,"26.77"
ACMDPAP32,"P:","94.71%",Critical,"94.71"
ACMDPAP32,"C:","31.73%",Healthy,"31.73"
ACMDPAP32,"D:","13.0%",Healthy,13
ACMDPAP42,"C:","70.95%",Warning,"70.95"
ACMDPAP42,"D:","47.73%",Healthy,"47.73"
ACMDPAP54,"D:","95.69%",Critical,"95.69"
ACMDPAP54,"C:","77.23%",Warning,"77.23"
ACMDPAP57,"C:","84.03%",Warning,"84.03"
ACMDPAP61,"D:","97.15%",Critical,"97.15"
ACMDPAP61,"C:","58.82%",Healthy,"58.82"
ACMDPAP62,"D:","99.61%",Critical,"99.61"
ACMDPAP62,"E:","97.07%",Critical,"97.07"
ACMDPAP62,"C:","60.7%",Warning,"60.7"
ACMDPAP63,"H:","99.86%",Critical,"99.86"
